800000 tests per attempt, 30 attempts (single threaded machine, 12/12/2012
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

dimitris@artemis:~/safeqc/safeqc/tmu$ EXTRATMUARGS="--gen-empty-init-stk=True" make simpletables && echo "Nonempty now" && make simpletables

ghc --make -main-is TMUDriver -O2 -Werror -fwarn-unused-imports -fwarn-missing-signatures -fwarn-unused-do-bind -fwarn-incomplete-patterns -fwarn-tabs -i..//common   TMUDriver.hs

PropSemanticNonInterference & GenNaive & IfcBugAddNoTaint & 11.007 & 98490 & 1.000 & 2745
PropSemanticNonInterference & GenNaive & IfcBugPushNoTaint & 4.924 & 44294 & 1.000 & 2374
PropSemanticNonInterference & GenNaive & IfcBugLoadNoTaint & 84.319 & 772757 & 0.067 & 93
PropSemanticNonInterference & GenNaive & IfcBugStoreNoTaint & 70.321 & 642523 & 0.400 & 460
PropSemanticNonInterference & GenNaive & IfcBugAllowWriteDownThroughHighPtr & 17.275 & 162377 & 0.967 & 1064

PropLowLockStep & GenNaive & IfcBugAddNoTaint & 0.166 & 539 & 1.000 & 2904
PropLowLockStep & GenNaive & IfcBugPushNoTaint & 0.009 & 27 & 1.000 & 1037
PropLowLockStep & GenNaive & IfcBugLoadNoTaint & 8.451 & 58225 & 1.000 & 1169
PropLowLockStep & GenNaive & IfcBugStoreNoTaint & 92.674 & 649532 & 0.333 & 415
PropLowLockStep & GenNaive & IfcBugAllowWriteDownThroughHighPtr & 16.050 & 114143 & 1.000 & 1061

PropSemanticNonInterference & GenNaiveLonger & IfcBugAddNoTaint & 7.948 & 70705 & 1.000 & 3101
PropSemanticNonInterference & GenNaiveLonger & IfcBugPushNoTaint & 3.614 & 32436 & 1.000 & 2443
PropSemanticNonInterference & GenNaiveLonger & IfcBugLoadNoTaint & 82.508 & 755177 & 0.067 & 82
PropSemanticNonInterference & GenNaiveLonger & IfcBugStoreNoTaint & 74.714 & 702737 & 0.233 & 479
PropSemanticNonInterference & GenNaiveLonger & IfcBugAllowWriteDownThroughHighPtr & 17.209 & 158844 & 1.000 & 1789

PropLowLockStep & GenNaiveLonger & IfcBugAddNoTaint & 0.127 & 390 & 1.000 & 2619
PropLowLockStep & GenNaiveLonger & IfcBugPushNoTaint & 0.010 & 14 & 1.000 & 1656
PropLowLockStep & GenNaiveLonger & IfcBugLoadNoTaint & 8.130 & 50433 & 1.000 & 1862
PropLowLockStep & GenNaiveLonger & IfcBugStoreNoTaint & 93.870 & 599282 & 0.400 & 806
PropLowLockStep & GenNaiveLonger & IfcBugAllowWriteDownThroughHighPtr & 12.126 & 78265 & 1.000 & 2027

PropSemanticNonInterference & GenNaiveWeighted & IfcBugAddNoTaint & 0.447 & 977 & 1.000 & 2987
PropSemanticNonInterference & GenNaiveWeighted & IfcBugPushNoTaint & 0.231 & 175 & 1.000 & 3281
PropSemanticNonInterference & GenNaiveWeighted & IfcBugLoadNoTaint & 101.886 & 505543 & 0.700 & 1470
